Time,Mood,Notes
6:30,3,tired and annoyed
7:30,4,excited to start work
8:30,4,excited to start work
9:30,4,crying from podcast
10:30,3,bored
11:30,3,tired and annoyed
12:30,4,lunch
13:30,3,bored
14:30,4,meeting over 
15:30,4,day over soon
16:30,4,"day over, gay future podcast"
17:30,4,survivor departure
18:30,2,left out from jokes
19:30,4,survivor 
20:30,4,home
21:30,3,bed
